sequential,SEQ_NUM,FIO_ID,SEX,STATE,CITY,LOCATION,DIST,DIST_ID,FIO_DATE,FIO_TIME,PRIORS,DESCRIPTION,CLOTHING,COMPLEXION,FIOFS_TYPE,TERRORISM,SEARCH,BASIS,STOP_REASONS,ENTEREDBY,FIOFS_REASONS,OUTCOME,VEH_MAKE,VEH_YEAR_NUM,VEH_COLOR,VEH_MODEL,VEH_OCCUPANT,VEH_STATE,SUPERVISOR_ID,OFFICER_ID,SUPERVISOR,OFF_DIST_ID,OFF_DIST,OFFICER,SUP_ENTRYDATE,LAST_UPDATEBY,LAST_UPDATETIME,ETHNICITY,FIRST_INSERTTIME,ACTIVE_ID,RACE_ID,RACE_DESC,FIO_DATE_CORRECTED,AGE_AT_FIO_CORRECTED,STREET_ID,city_2,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
57000,705157,519499,MALE,MA,BOSTON," SCHOOL ST at WALNUT AV",E13,9,"4/22/11 00:00","4/22/11 00:00",YES,B(Black),"Black Hoody; Blue Jeans; Yellow Boots",Dark,OF,NO,,,INVESTIGATIVE,,"INVESTIGATE; PERSON",F,"NO DATA ENTERED",0,"NO DATA ENTERED",,,"NO DATA ENTERED",9965,108878,"LUIS A CRUZ",9,E13,"Jackson   Hernandez","4/22/11 00:00",,"4/22/11 00:00",,"4/22/11 00:00",1,2,B(Black),"4/22/11 00:00",28,4063,"NO DATA ENTERED",42.312491,-71.096248,1,intersection,,"School St",Boston,MA,"Suffolk County",02119,US
57001,870495,554343,MALE,MA,BOSTON," BOWDOIN ST at NORTON ST",C11,5,"2/14/12 00:00","2/14/12 00:00",,B(Black),"BLK COAT; KHAKI PANTS",Med,IO,NO,,,"OTHER (SPECIFY)",,VAL,F,CHRYSLER,2001,RED,4DR,DRIVER,"NO DATA ENTERED",11826,11804,"JAMES W MILLER",16,YVSF,"ANTHONY J SERRA","2/28/12 00:00",,"3/19/12 00:00",,"3/19/12 00:00",1,2,B(Black),"2/14/12 00:00",23,529,"NO DATA ENTERED",42.30554,-71.067882,0.91,intersection,,"Bowdoin St",Boston,MA,"Suffolk County",02122,US
57002,705159,519501,MALE,MA,BOSTON," SCHOOL ST at WALNUT AV",E13,9,"4/22/11 00:00","4/22/11 00:00",YES,B(Black),"Black Hoody; Blue Jeans; Yellow Boots",Dark,OF,NO,,,INVESTIGATIVE,,"INVESTIGATE; PERSON",F,"NO DATA ENTERED",0,"NO DATA ENTERED",,,"NO DATA ENTERED",9965,108878,"LUIS A CRUZ",9,E13,"Jackson   Hernandez","4/22/11 00:00",,"4/22/11 00:00",,"4/22/11 00:00",1,2,B(Black),"4/22/11 00:00",28,4063,"NO DATA ENTERED",42.312491,-71.096248,1,intersection,,"School St",Boston,MA,"Suffolk County",02119,US
57003,870379,554227,MALE,MA,BOSTON,"131 STATE ST",A1,1,"3/11/12 00:00","3/11/12 00:00",YES,W(White),"BRN. HOODED SWEATSHIRT; BLU. JEANS","NO DATA ENTERED",IO,NO,,,"RADIO CALL",51340,DISTURBANCE,F,"NO DATA ENTERED",0,"NO DATA ENTERED",,,"NO DATA ENTERED",8180,10162,"CHARLES E WILSON",1,A1,"PAUL J DOWNEY","3/14/12 00:00",51340,"3/19/12 00:00",,"3/19/12 00:00",1,4,W(White),"3/11/12 00:00",23,4295,OTHER,42.359104,-71.054427,1,range_interpolation,131,"State St",Boston,MA,"Suffolk County",02109,US
57004,870381,554229,MALE,MA,BOSTON," ALBANY ST at HAMPDEN ST",B2,3,"10/18/11 00:00","10/18/11 00:00",,W(White),"WHITE SHIRT",Light,IO,NO,,,INVESTIGATIVE,8623,"INVESTIGATE; PERSON",F,"NO DATA ENTERED",0,"NO DATA ENTERED",,,"NO DATA ENTERED",8835,103549,"PATRICK J CULLITY",3,B2,"Michael T McManus","3/18/12 00:00",8623,"3/19/12 00:00",,"3/19/12 00:00",1,4,W(White),"10/18/11 00:00",23,68,"NO DATA ENTERED",42.331989,-71.075654,1,intersection,,"Albany St",Boston,MA,"Suffolk County",02119,US
57005,870262,554110,MALE,MA,BOSTON,"885 WASHINGTON ST",A1,1,"3/10/12 00:00","3/10/12 00:00",YES,"A(Asian or Pacific Islander)",,"NO DATA ENTERED",I,NO,,"PROBABLE CAUSE","RADIO CALL",51340,"209A; VERBAL DISPUTE",F,"NO DATA ENTERED",0,"NO DATA ENTERED",,,"NO DATA ENTERED",8949,56108,"PAUL R DONOVAN",1,A1,"BRIAN B.   MCMANUS","3/13/12 00:00",51340,"3/17/12 00:00",,"3/17/12 00:00",1,1,"A(Asian or Pacific Islander)","3/10/12 00:00",23,4771,OTHER,42.280744,-71.07088,1,range_interpolation,885,"Washington St",Boston,MA,"Suffolk County",02124,US
57006,870646,554495,MALE,MA,BOSTON," CENTRE ST at LAMARTINE ST",E13,9,"3/5/12 00:00","3/5/12 00:00",YES,H(Hispanic),"Black Hoody; Black Jeans",Med,IO,NO,,,INVESTIGATIVE,,"INVESTIGATE; PERSON",F,"NO DATA ENTERED",0,"NO DATA ENTERED",,,"NO DATA ENTERED",9965,99792,"LUIS A CRUZ",9,E13,"Jeffrey  J Quinchia","3/19/12 00:00",,"3/20/12 00:00",,"3/20/12 00:00",1,3,H(Hispanic),"3/5/12 00:00",23,822,"NO DATA ENTERED",42.291705,-71.066161,1,street_center,,"Centre St",Boston,MA,"Suffolk County",02124,US
57007,870569,554418,FEMALE,MA,BOSTON,"0 W CEDAR ST",A1,1,"3/18/12 00:00","3/18/12 00:00",NO,W(White),"WHT. JKT; BLK SHIRT; BLK. PANTS; BLK. HEELS",Light,I,NO,,"REASONABLE SUSPICION","OTHER (SPECIFY)",51340,"INVESTIGATE; PERSON",F,"NO DATA ENTERED",0,"NO DATA ENTERED",,,"NO DATA ENTERED",8949,116141,"PAUL R DONOVAN",1,A1,"Amy Leigh   Devito","3/19/12 00:00",51340,"3/20/12 00:00",,"3/20/12 00:00",1,4,W(White),"3/18/12 00:00",23,4690,OTHER,42.370567,-71.026964,1,place,,,Boston,MA,"Suffolk County",02101,US
57008,870647,554496,MALE,MA,BOSTON,"00 FAIRFIELD ST",D4,8,"3/16/12 00:00","3/16/12 00:00",YES,W(White),"blk; wool hat; blk; blue coat; blue jeans; wht sneakers",Light,I,NO,V,"CONSENT SEARCH",,74148,"INVESTIGATE; PERSON",F,OLDSMOBILE,0,OTHER,,PASSENGER,"New Hampshire",,93861,,8,D4,"Amy   Clinton",,74148,"3/20/12 00:00",,"3/20/12 00:00",1,4,W(White),"3/16/12 00:00",23,1630,OTHER,42.351404,-71.082965,0.8,street_center,,"Fairfield St",Boston,MA,"Suffolk County",02116,US
57009,870681,554530,MALE,MA,BOSTON," CASS BL at TREMONT ST",B2,3,"11/25/11 00:00","11/25/11 00:00",NO,B(Black),,Dark,IO,NO,,,INVESTIGATIVE,8623,"INVESTIGATE; PERSON",F,HONDA,1997,GREEN,COUPE,DRIVER,MA,8835,98660,"PATRICK J CULLITY",3,B2,"Daniel  B Kornetsky","3/20/12 00:00",8623,"3/20/12 00:00",,"3/20/12 00:00",1,2,B(Black),"11/25/11 00:00",23,773,Dorchester,42.276263,-71.163809,1,street_center,,"Cass St","West Roxbury",MA,"Suffolk County",02132,US
57010,899470,582884,MALE,MA,BOSTON," BLUE HILL AV at WARREN ST",B2,3,"10/18/12 00:00","10/18/12 00:00",,B(Black),,Dark,IO,NO,,,"MOTOR VEHICLE VIOLATION",1762,"INVESTIGATE; MV",F,"NO DATA ENTERED",0,"NO DATA ENTERED",,DRIVER,"NO DATA ENTERED",11610,102348,"TIMOTHY M HORAN",3,B2,"Donald   Nicholas","10/31/12 00:00",1762,"10/31/12 00:00",,"10/31/12 00:00",1,2,B(Black),"10/18/12 00:00",23,485,Dorchester,42.309439,-71.082605,0.99,intersection,,"Blue Hill Ave",Boston,MA,"Suffolk County",02121,US
57011,870451,554299,MALE,MA,BOSTON,"84  WALNUT AV",B2,3,"11/28/11 00:00","11/28/11 00:00",YES,B(Black),,Med,IO,NO,,,INVESTIGATIVE,8623,VAL,F,GMC,1994,RED,PICKUP,DRIVER,MA,8835,76157,"PATRICK J CULLITY",3,B2,"Kevin P Cook","3/19/12 00:00",8623,"3/19/12 00:00",NH,"3/19/12 00:00",1,2,B(Black),"11/28/11 00:00",23,4740,"NO DATA ENTERED",42.322179,-71.084844,1,range_interpolation,84,"Walnut Ave",Boston,MA,"Suffolk County",02119,US
57012,870466,554314,MALE,MA,BOSTON,"70 BIRD ST",B2,3,"11/30/11 00:00","11/30/11 00:00",YES,B(Black),"RED HAT BLK HOODY JEANS",Med,IO,NO,,,INVESTIGATIVE,8623,VAL,F,ACURA,1997,GREEN,"2 DOOR",,MA,8835,103611,"PATRICK J CULLITY",3,B2,"Brian W Johnson","3/19/12 00:00",8623,"3/19/12 00:00",NH,"3/19/12 00:00",1,2,B(Black),"11/30/11 00:00",23,457,"NO DATA ENTERED",42.313632,-71.069597,1,range_interpolation,70,"Bird St",Boston,MA,"Suffolk County",02125,US
57013,870467,554315,MALE,MA,BOSTON,"70 BIRD ST",B2,3,"11/30/11 00:00","11/30/11 00:00",YES,B(Black),"RED HAT BLK HOODY JEANS",Med,IO,NO,,,INVESTIGATIVE,8623,VAL,F,ACURA,1997,GREEN,"2 DOOR",,MA,8835,103611,"PATRICK J CULLITY",3,B2,"Brian W Johnson","3/19/12 00:00",8623,"3/19/12 00:00",NH,"3/19/12 00:00",1,2,B(Black),"11/30/11 00:00",23,457,"NO DATA ENTERED",42.313632,-71.069597,1,range_interpolation,70,"Bird St",Boston,MA,"Suffolk County",02125,US
